,model_type,dataset,gradient_accumulation_steps,conv1_t_stride,learning_rate,no_max_pool,label_smoothing,bn_size,batch_size,model,widen_factor,act,resnet_type,growth_rate,dropout_prob,warmup_epochs,scheduler_type,weight_decay,mixup_alpha,remove_last_block,optimizer_type,conv1_t_size,densenet_type,init_features
77,,liver,1,,1.15737374e-05,,0.1760172815623,4.0,2,densenet,,relu,,18.0,0.0801207810266,4,cosine_warmup,2.69750191e-05,0.3682019799605,False,sgd,,densenet121,60.0
78,,liver,2,,0.009856932983,,0.1629652384983,4.0,1,densenet,,leakyrelu,,32.0,0.1065096411485,2,warmup,0.0007716198426,0.303829431698,True,sgd,,densenet169,38.0
79,,liver,1,,0.0059234722027,,0.0291288170457,1.0,1,densenet,,leakyrelu,,25.0,0.0198828742703,2,cosine_warmup,0.0005169158229,0.1847764308156,False,adamw,,densenet121,20.0
80,,liver,1,,4.85483642e-05,,0.0054845921161,3.0,1,densenet,,leakyrelu,,21.0,0.1054108133531,2,cosine_warmup,3.6011822e-06,0.0398862561737,False,adam,,densenet121,61.0
81,,liver,1,,0.000740189965,,0.1768521583398,4.0,4,densenet,,gelu,,27.0,0.1096147131752,3,warmup,0.0002026521655,0.0223483397669,False,sgd,,densenet169,23.0
82,,liver,1,,0.0057007167289,,0.0785656473536,3.0,2,densenet,,leakyrelu,,25.0,0.0120865939148,5,cosine_warmup,2.14562996e-05,0.2123162607057,False,adam,,densenet201,34.0
83,,liver,2,1.0,5.96303918e-05,True,0.106783729327,,2,resnet,1.8520543346039,relu,resnet34,,,5,cosine_warmup,3.72319392e-05,0.1460878274389,,adamw,5.0,,
84,,liver,1,,0.0002411077276,,0.0016261673911,2.0,2,densenet,,relu,,31.0,0.2933824148536,5,warmup,1.05060981e-05,0.3873380010034,True,adamw,,densenet121,18.0
85,,liver,1,1.0,0.006169172652,False,0.1665198577889,,3,resnet,1.6320544502098,leakyrelu,resnet34,,,0,cosine_warmup,0.0003318180479,0.2545482282452,,sgd,4.0,,
86,,liver,1,2.0,1.99254788e-05,False,0.1899847566945,,1,resnet,1.8614684565696,gelu,resnet34,,,4,cosine_warmup,5.22361339e-05,0.2957513915209,,adamw,3.0,,
