,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,48.13807777777778,44.18618888888889,50.90198888888889,49.43562222222223,54.7153,46.50668888888889,50.85161111111111,47.21717777777778,46.23708888888889,53.13052222222222,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111,55.22801111111111
2,56.30448888888889,52.73116666666667,53.3409,53.00831111111111,57.18695555555556,58.164533333333324,54.66113333333333,62.8332,58.07256666666667,57.95792222222222,61.977822222222215,61.320233333333334,61.732177777777764,64.0363,62.452755555555555,62.253711111111116,62.253711111111116,62.253711111111116,62.253711111111116,62.253711111111116,62.253711111111116,62.253711111111116,62.253711111111116,62.253711111111116,62.253711111111116
3,58.38624444444445,63.78055555555555,64.89545555555554,69.28573333333333,71.52305555555557,67.07733333333334,65.4421888888889,69.41797777777778,74.05768888888889,73.28672222222221,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555,73.53615555555555
4,53.00077777777777,55.2066,55.52027777777777,55.575722222222225,53.841011111111115,57.7828111111111,50.34895555555555,61.38953333333333,66.01535555555556,51.92995555555555,59.69386666666667,58.572700000000005,58.572700000000005,58.572700000000005,58.572700000000005,58.572700000000005,58.572700000000005,58.572700000000005,58.572700000000005,58.572700000000005,58.572700000000005,58.572700000000005,58.572700000000005,58.572700000000005,58.572700000000005
5,53.80574444444445,47.316722222222225,42.695877777777774,43.4908,43.397600000000004,44.82111111111111,44.34870000000001,44.80726666666666,44.97355555555555,44.25548888888889,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555,44.44065555555555
6,47.96925555555556,47.94027777777777,48.66085555555556,49.46964444444444,49.120711111111106,48.967,49.55783333333333,49.52632222222222,49.73038888888888,49.24665555555556,49.551522222222225,50.621044444444436,50.621044444444436,50.621044444444436,50.621044444444436,50.621044444444436,50.621044444444436,50.621044444444436,50.621044444444436,50.621044444444436,50.621044444444436,50.621044444444436,50.621044444444436,50.621044444444436,50.621044444444436
7,55.21414444444445,55.02393333333333,53.77298888888889,55.988933333333335,54.73671111111111,54.64475555555556,54.60316666666667,54.685055555555564,55.49508888888889,55.57193333333334,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774,55.096977777777774
8,54.977311111111106,47.396077777777776,51.092833333333346,64.76443333333333,69.04005555555555,68.10407777777777,71.41974444444445,68.3119111111111,71.65406666666667,70.9801,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888,63.94558888888888
9,51.433622222222226,58.68858888888888,48.58905555555556,53.56514444444444,54.35498888888888,48.0146,48.61046666666667,44.511222222222216,51.5306,44.87526666666667,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778,50.87677777777778
10,45.592088888888895,46.21565555555556,46.05567777777778,45.98261111111111,46.176611111111114,46.25345555555556,46.3618,46.96397777777778,46.96522222222222,47.014355555555554,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667,46.93876666666667
